Name,FA%,vFA,FA-X,FA-Z,injury
Logan Gilbert,0.44215686,95.8213545220024,-4.075457733482219,10.13809664754072,0.0
George Kirby,0.36840522,95.88320174244488,-5.682482787188606,8.703353653348762,0.0
Matt Brash,0.26625286,97.45803686972776,-6.72937902906921,7.739516331959356,0.0
Emerson Hancock,0.29912581,94.00698949481814,-8.05064417294959,7.252988182756164,0.0
Bryce Miller,0.47267888,95.05915788547532,-3.348763899599412,10.71143176548526,0.0
Bryan Woo,0.47660371,95.30995905480184,-5.710155831622635,8.482358944071313,0.0
Craig Stammen,0.00597312,91.34166971842448,-3.4557387034098306,6.782773653666179,0.0
Joe Musgrove,0.22955975,93.08444267616346,-2.8262392107521253,7.650437603258107,1.0
Yu Darvish,0.20736528,94.59572264716992,-4.742002266387726,10.157295173847194,0.0
Adrian Morejon,0.27250352,96.659482421875,4.135604631977697,9.891770255796372,1.0
Matt Waldron,0.19181903,90.758806022188,-5.469019198071013,8.294201322441532,0.0
Robert Suarez,0.56978504,98.56375987978214,-4.462236588870301,10.615814306277398,0.0
Yuki Matsui,0.40293561,92.11891800088132,3.1517863290430377,11.540849230684488,0.0
Duane Underwood Jr.,0.21988072,94.45533385457873,-5.2828519797023334,9.079044590375736,0.0
Chase De Jong,0.46458142,92.78683187654704,-1.2341463334489575,10.804911638014389,0.0
Mitch Keller,0.35055019,94.52477107189569,-5.202944866133989,8.76401889433648,0.0
Wil Crowe,0.27560322,94.0118687551773,-2.2098918796049483,9.753290536338715,0.0
Carmen Mlodzinski,0.40063898,96.01706579959752,-6.3298277543112045,7.026288837146911,0.0
Jared Jones,0.49267782,97.33258691613588,-5.257640927713641,9.952463591427811,0.0
Paul Skenes,0.39632956,98.44054033251231,-8.861034434652094,6.602075315578817,0.0
Zack Wheeler,0.42211695,96.06318310301508,-5.431732964954983,8.87013632616206,0.0
Aaron Nola,0.31752562,92.63405390429644,-7.903543252461497,8.432116085953483,0.0
Ranger Suárez,0.18780155,92.69762254604944,4.32938602833972,7.044423179607974,0.0
José Alvarado,0.01220972,98.36274629480698,4.4577807258157165,9.347686318790212,0.0
Cristopher Sánchez,0.0,0.0,0.0,0.0,0.0
Orion Kerkering,0.31081081,97.56231773487036,-6.803838293103205,9.309999421714007,0.0
James Kaprielian,0.48868101,93.28070498316065,-5.339240069776363,9.079210161615112,0.0
Tyler Ferguson,0.38431806,95.2563195941092,-6.175705832996588,8.447500996206,0.0
Adrián Martínez,0.0,0.0,0.0,0.0,0.0
Hogan Harris,0.5335074,92.98651610929852,6.27106393271649,10.02445110177916,0.0
Luis Medina,0.41801126,96.01301791124328,-4.229408469619614,9.575533033059358,1.0
Joey Estes,0.51429773,92.34341892295456,-6.023378978863371,9.574175668562036,0.0
Ken Waldichuk,0.54719388,93.48507953634906,6.627693940987398,8.833450424087632,0.0
Mitch Spence,0.0,0.0,0.0,0.0,0.0
J.T. Ginn,0.01005747,92.40476335797992,-4.384759902954102,6.468888010297503,0.0
Gerrit Cole,0.50153735,97.15898141678689,-6.175346322236747,10.489371562838082,0.0
Jonathan Loáisiga,0.03247994,97.547059990378,-6.015641391978544,9.40284065919764,1.0
Clarke Schmidt,0.04331013,93.9985723223005,-3.091895481518337,8.441838809422084,1.0
Luis Gil,0.49988227,96.23697464341438,-3.5981944187935153,9.952798750846386,1.0
Will Warren,0.40030675,93.33371769112188,-5.378401879789272,8.892405279751483,0.0
Edwin Díaz,0.52215109,98.10451086623344,-8.570819819189861,7.160589093727011,0.0
Drew Smith,0.54678571,95.16414350812376,-4.734642945731254,10.39995235590122,1.0
David Peterson,0.28179342,92.92661731819238,4.7623176149276105,8.085470898709776,0.0
Tylor Megill,0.52229033,95.14921316257252,-5.0366938690975145,9.367207223684128,0.0
Kodai Senga,0.34830046,95.30397684487951,-5.050778078745647,9.77218160973974,0.0
Bailey Ober,0.4332063,91.4399667142178,-4.824524070895744,9.52468211799364,0.0
