,team,runs,BB,1B,2B,3B,HR,ParkID
4277,"""MIL""",1,0,3,0,0,0,"""MIL06"""
4278,"""CIN""",3,2,5,2,0,0,"""NYC20"""
4279,"""NYN""",1,3,4,0,0,0,"""NYC20"""
4280,"""WAS""",3,0,3,2,0,1,"""PIT08"""
4281,"""PIT""",7,0,6,3,0,3,"""PIT08"""
4282,"""SFN""",7,2,3,2,0,4,"""SAN02"""
4283,"""SDN""",6,5,6,0,0,2,"""SAN02"""
4284,"""SEA""",10,4,7,5,0,2,"""STL10"""
4285,"""SLN""",4,3,6,3,0,0,"""STL10"""
4286,"""TBA""",2,2,7,0,0,1,"""BAL12"""
4287,"""BAL""",0,3,5,0,0,0,"""BAL12"""
4288,"""CHA""",7,2,11,1,0,0,"""BOS07"""
4289,"""BOS""",2,1,3,3,0,2,"""BOS07"""
4290,"""ARI""",12,4,10,1,0,4,"""HOU03"""
4291,"""HOU""",6,2,9,2,0,1,"""HOU03"""
4292,"""MIN""",0,1,4,1,0,0,"""KAN06"""
4293,"""KCA""",2,3,4,2,0,0,"""KAN06"""
4294,"""DET""",9,4,11,4,0,1,"""OAK01"""
4295,"""OAK""",1,3,7,1,0,0,"""OAK01"""
4296,"""ANA""",4,2,2,2,0,1,"""ARL03"""
4297,"""TEX""",7,3,5,2,0,3,"""ARL03"""
4298,"""CIN""",1,2,7,1,0,0,"""ATL03"""
4299,"""ATL""",0,1,2,0,0,0,"""ATL03"""
4300,"""CHN""",10,1,12,2,0,2,"""LOS03"""
4301,"""LAN""",4,5,9,0,0,1,"""LOS03"""
4302,"""TBA""",1,1,7,0,0,1,"""PHI13"""
4303,"""PHI""",2,5,4,0,0,1,"""PHI13"""
4304,"""MIA""",2,2,6,2,0,0,"""PIT08"""
4305,"""PIT""",3,1,5,1,0,1,"""PIT08"""
4306,"""BAL""",3,6,2,3,0,1,"""BOS07"""
4307,"""BOS""",12,3,8,3,0,4,"""BOS07"""
4308,"""CLE""",5,8,4,2,0,2,"""CHI12"""
4309,"""CHA""",3,0,4,0,0,1,"""CHI12"""
4310,"""ANA""",6,4,5,2,0,2,"""MIN04"""
4311,"""MIN""",2,3,2,2,0,1,"""MIN04"""
4312,"""KCA""",4,3,4,0,0,2,"""NYC21"""
4313,"""NYA""",10,7,8,2,0,2,"""NYC21"""
4314,"""NYN""",3,4,3,0,0,0,"""TOR02"""
4315,"""TOR""",2,2,3,1,0,0,"""TOR02"""
4316,"""TEX""",0,3,3,0,0,0,"""PHO01"""
4317,"""ARI""",6,2,4,3,0,3,"""PHO01"""
